2026-04-06 16:36:20 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:36:20 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:36:20 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:38:34 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:38:34 | INFO     | src.data.preprocessing |   ✓ 5,127 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:38:34 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 4,307 rows | Test: 820 rows
2026-04-06 16:40:56 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:40:56 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:40:56 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:43:19 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:43:19 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:43:19 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:45:42 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:45:42 | INFO     | src.data.preprocessing |   ✓ 5,254 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:45:42 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 4,434 rows | Test: 820 rows
2026-04-06 16:48:05 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:48:05 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:48:05 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:50:23 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:50:23 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:50:23 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:52:36 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:52:36 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:52:36 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:54:48 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:54:48 | WARNING  | src.data.preprocessing | No volatility results computed (empty input or insufficient data).
2026-04-06 16:54:48 | INFO     | src.data.loader | Loading forex data from: /home/thota23/Volatility-Forecasting-in-Global-Financial-Markets-Using-TimeMixer/Data/forex.csv
2026-04-06 16:54:48 | INFO     | src.data.loader |   ✓ forex: 59,330 rows | 10 tickers | 2010-01-01 → 2026-03-30
2026-04-06 16:54:48 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:54:48 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:54:49 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 16:57:03 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:57:03 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
