MAE,MSE,RMSE,MAPE,sMAPE,QLIKE,R2,HitRate,N,AssetClass,Ticker,Horizon
0.03991091624152168,0.0017059382142328395,0.04130300490560995,21.41932131180769,24.15771753874727,-2.2487318077413723,-6.5689603651494295,54.54545454545454,12,stock,AAPL,12
0.062360966120524414,0.005111090514794384,0.07149189125204608,25.816991126095452,30.510045330953865,-1.6894198336171797,-2.0692358602587944,47.368421052631575,96,stock,AAPL,96
0.062187087190921995,0.006002308300359918,0.07747456550610606,24.017644471625346,28.618061153398184,-1.646134235972793,-1.1515467920205618,43.455497382198956,192,stock,AAPL,192
0.074489997787232,0.010764006703492666,0.10374973110082102,26.19194904366364,32.09231319296716,-1.3116902746655716,-0.9337898643055604,49.850746268656714,336,stock,AAPL,336
0.11531091518421689,0.0276772382602367,0.16636477469776076,34.602855927046605,45.090814079176525,-0.008155582771227977,-0.9834426637945599,50.48678720445062,720,stock,AAPL,720
0.013480617086286487,0.00021712204813270356,0.014735061863891294,6.621586246801299,6.8879610586840165,-2.171963294981001,-9.562381273994223,27.27272727272727,12,stock,AMZN,12
0.05888361308888582,0.004291017149223405,0.06550585583917978,23.450105516823065,26.87685523598678,-1.6415578443372507,-0.7072194253487201,55.78947368421052,96,stock,AMZN,96
0.052668063718499684,0.005656353076628211,0.07520873005594637,18.18499876690621,21.610619472930825,-1.5786370081198224,-0.9507913902364218,53.403141361256544,192,stock,AMZN,192
0.10503650522535884,0.02013202870104778,0.14188738034458095,32.09836177253009,40.842768655744266,-0.5977803292556372,-1.2114913671873877,50.44776119402985,336,stock,AMZN,336
0.11017004878606534,0.02290035015141721,0.15132861643264042,30.953682154821653,38.7840886407931,-0.5191835563146608,-0.7036390809646387,47.8442280945758,720,stock,AMZN,720
0.0054333134607931636,3.844104639261948e-05,0.006200084385927299,5.374235311417932,5.56690962499718,-3.588164355660197,-1.9343485115642158,63.63636363636363,12,stock,BRK-B,12
0.04444066228382385,0.0025957928457937206,0.0509489238924015,28.937224670917978,35.133106736817304,-2.477757919982882,-2.779115530837104,46.31578947368421,96,stock,BRK-B,96
0.0347640159251808,0.0016267006685561625,0.04033237742256415,23.23803605184778,27.172642554457415,-2.7061883011341705,-2.3053029376875713,55.497382198952884,192,stock,BRK-B,192
0.053163853057116336,0.003865797474875688,0.06217553759217276,31.38498303068665,38.727111108872016,-2.1524802275646415,-2.4743571530379427,54.62686567164179,336,stock,BRK-B,336
0.07048202112529182,0.009639485400169992,0.09818088103174667,36.13137661797804,46.27764732916764,-1.2304251891405376,-1.047866624373727,50.06954102920723,720,stock,BRK-B,720
0.022917903529320754,0.00060891583236848,0.02467621997730771,12.956878123787375,12.016486830524126,-2.374036180339638,-2.4245063898610604,45.45454545454545,12,stock,GOOGL,12
0.04665320916771273,0.003368729072410745,0.058040753547923075,20.289140073456423,18.623164987769748,-1.672583933790883,-0.021422834046945782,46.31578947368421,96,stock,GOOGL,96
0.07023772704912713,0.010554826893519506,0.10273668718388532,21.60782651245232,25.37204438549217,-1.3754716317865057,-0.2000223471068816,48.69109947643979,192,stock,GOOGL,192
0.07410464455843517,0.010226851670185114,0.1011278975861019,22.94384853089411,27.38710935319141,-1.283994159865516,-0.46823514016125656,48.95522388059702,336,stock,GOOGL,336
0.12799061392879918,0.023362996429673197,0.15284958760059902,37.61019374501168,48.70168217070748,-0.2178326214120978,-2.310564911269713,48.95688456189152,720,stock,GOOGL,720
0.008328085903171424,8.273811881893027e-05,0.009096049627114524,6.3342468520890804,6.583716009733178,-3.0300668207662795,0.04081198770620753,72.72727272727273,12,stock,JNJ,12
0.015081492177248225,0.0003114116780515231,0.017646860288774407,11.51737594071811,10.678489348264929,-2.9763017693891336,-1.8972917885707195,48.421052631578945,96,stock,JNJ,96
0.022688327717332233,0.0007308189754557958,0.027033663744594365,15.221391554019615,14.705053222217703,-2.7707090660151117,0.006926405501877286,48.167539267015705,192,stock,JNJ,192
0.021061837280120826,0.0006196825255983431,0.024893423340278917,13.854443896717788,13.369980348277325,-2.702810175470329,0.10232932418525698,50.74626865671642,336,stock,JNJ,336
0.030988459925958504,0.002841670468323713,0.05330732096366983,16.185897219494375,16.306235049029922,-2.3964763602979624,0.02669379275020911,52.01668984700974,720,stock,JNJ,720
0.016252996514759352,0.00028734457851358776,0.01695124120864274,6.8189419034917815,7.081315121888977,-1.8627847355674374,-16.722399418231838,54.54545454545454,12,stock,META,12
0.14796397229182456,0.04875331835657019,0.22080153612819406,30.987145445013454,41.783919371059966,0.5236149386943527,-1.017214521018321,50.526315789473685,96,stock,META,96
0.12370326110334574,0.04023415684467933,0.2005845379003061,23.92051598536281,31.047528828419917,-0.2234753163509546,-0.46310148228027836,53.92670157068062,192,stock,META,192
0.12644326714346416,0.036700739961179764,0.19157437187990403,27.015421198211488,34.96796212718888,-0.19217174046065844,-0.6800148380614655,48.656716417910445,336,stock,META,336
0.13739635511984938,0.035413171475651435,0.18818387676857823,31.164538495912097,40.09084615757514,-0.12944524057645385,-0.9038603775990259,49.65229485396384,720,stock,META,720
0.008966162116877107,0.00011434230246788598,0.010693096018828502,6.347490662278214,6.354711364690581,-2.928073485716586,-2.7603217046624255,45.45454545454545,12,stock,MSFT,12
0.024692075820444175,0.0008954040600004893,0.029923302959407563,12.528019325675022,13.573016883329847,-2.312270065922783,-0.49977629222912734,52.63157894736842,96,stock,MSFT,96
0.02640194252397123,0.001119652926982832,0.03346121526458404,12.6854696730383,13.52066074853806,-2.241249331100846,0.02473104540480464,49.73821989528796,192,stock,MSFT,192
0.04729234654155548,0.0040131715060835816,0.06334959752108597,20.52442040556332,24.169829377522646,-1.9155252343281088,-1.1175844266633677,51.94029850746269,336,stock,MSFT,336
0.057237168361800664,0.007677757026533136,0.08762281110837027,21.34426351771045,24.65134249259823,-1.6211840008705976,-0.48851512292988564,52.155771905424196,720,stock,MSFT,720
0.007111008898617137,6.359551088509912e-05,0.007974679359391142,2.6090560666700293,2.585994806187184,-1.589127001167477,0.08733990050136675,54.54545454545454,12,stock,NVDA,12
0.17592858995009,0.05776384372391822,0.2403410986991576,29.174674792738188,38.101262989776856,0.40511607636161556,-1.1109658031664154,47.368421052631575,96,stock,NVDA,96
0.19473117584960262,0.05666655415621861,0.23804737796543488,34.28714044700209,44.26866366792985,0.513828465437813,-1.918817872349194,50.78534031413613,192,stock,NVDA,192
0.20535579225352205,0.06959369033311968,0.2638061605291273,34.821199144060614,45.423425997489,0.7719766368230507,-1.5411793948201056,50.44776119402985,336,stock,NVDA,336
0.18203134082548938,0.05833198766350696,0.24152015995255335,31.61825920014011,39.99600449993783,0.37738526177873294,-0.9999491552804027,48.67872044506258,720,stock,NVDA,720
0.032978190325120955,0.0013885970960091573,0.03726388460707173,10.464212339986814,9.802971821523617,-1.243095095058646,-6.292016018644048,45.45454545454545,12,stock,TSLA,12
0.05635441893793808,0.004821203705189604,0.06943488824207615,11.77557568914801,12.636683129449832,-0.5956143256113079,0.08517894466442355,52.63157894736842,96,stock,TSLA,96
0.08735000993722693,0.015444426314179591,0.12427560627162353,15.596733040870014,17.784784262883203,-0.3336075484862251,-0.4073040442838223,49.21465968586388,192,stock,TSLA,192
0.15185651911177162,0.041603398246935853,0.20396911101178006,23.236910932416624,28.16538276407042,0.17382976127795913,-0.96055515737885,54.02985074626866,336,stock,TSLA,336
0.18050365271447133,0.053691513371786834,0.23171429254965442,26.60909167591589,32.47455831981597,0.40706502448041626,-1.3028718403990678,51.18219749652295,720,stock,TSLA,720
0.011782885418964398,0.0001745773774649515,0.013212773269263024,10.65532154816862,9.95974178451381,-3.2372080811082795,0.42293262299446566,72.72727272727273,12,stock,V,12
0.02090403970322623,0.0007098429528949391,0.026642878089555923,13.955665396716313,14.231323863364583,-2.7752218126539265,0.045327880488819416,50.526315789473685,96,stock,V,96
0.02333108947756593,0.000925861666754669,0.030427975068260275,14.260887509386444,15.275199118977453,-2.683430242261639,-0.2742051176363134,55.497382198952884,192,stock,V,192
0.038667223675374084,0.002770553026816228,0.05263604303912128,19.617249713790056,22.973941591887222,-2.322402916693941,-0.7692687878025755,50.74626865671642,336,stock,V,336
0.07149792639218995,0.011067087696793588,0.10520022669554276,30.22439580169594,37.84912113911412,-1.333137360040496,-0.8081828522705969,52.85118219749653,720,stock,V,720
0.010480676581103666,0.00014397148777618414,0.011998811931861593,7.464196151512,7.84429440207714,-2.901272920681208,-0.1703641885729852,45.45454545454545,12,etf,EEM,12
0.02688028611598632,0.0010075607109071264,0.031742096825936476,24.49071108972813,20.77151692842042,-3.0686872609112528,-0.8022775005330516,56.84210526315789,96,etf,EEM,96
0.018852913633142464,0.0005113299043780604,0.02261260498876811,17.122022968507956,15.425291815223071,-3.1492019362236987,-0.07354144852904598,49.21465968586388,192,etf,EEM,192
0.03357319938019572,0.0019409199456940154,0.04405587299888649,24.419711792063666,22.909671171275807,-2.8003467882263195,-0.05785940514404064,46.865671641791046,336,etf,EEM,336
0.03511485604506899,0.0030548268346638854,0.055270487917729524,21.746552346306746,22.270923349027072,-2.663972674580284,0.00956680330790205,50.76495132127955,720,etf,EEM,720
0.030511729750424568,0.0011043623702243965,0.03323194803535291,27.586600489816465,33.034628468873315,-3.0453065337972993,-60.68186549607006,45.45454545454545,12,etf,EFA,12
